datetime,year,yday,hour,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,do,do2_sat
2007-07-05T08:00:00Z,2007,186,9,22.695714285714285,1113.0828571428572,3.2,6.9681969994171515,8.168580704412927,1.0400725340140282,521.2733137554736,8.39847633014468,1.028143888644885
2007-07-05T09:00:00Z,2007,186,10,22.81,1408.6571428571428,3.3,6.981194764866705,8.154218015049645,1.038183728141685,658.9117961865322,8.382453632879447,1.0279898841812376
2007-07-05T10:00:00Z,2007,186,11,22.88714285714286,1234.7614285714285,4.5,6.994475507317805,8.1422074526385,1.0396733974898478,576.87024069039,8.3821452213285,1.0294683929494142
2007-07-05T11:00:00Z,2007,186,12,22.982857142857142,1330.3942857142856,5.2,6.946851848970626,8.127927353195924,1.0426885162091135,624.2614540093535,8.37897966692041,1.0308876178163393
2007-07-05T12:00:00Z,2007,186,13,23.068571428571428,1408.6371428571429,5.8,6.979623069796786,8.112639041965144,1.0433789170677108,658.9970877808165,8.378671255369463,1.032792314810037
2007-07-05T13:00:00Z,2007,186,14,23.17142857142857,1686.8914285714286,6.5,6.9801950102629755,8.095619909846326,1.0442951446240514,789.1304303799877,8.369791415247088,1.033866647453063
2007-07-05T14:00:00Z,2007,186,15,23.24142857142857,1695.6142857142856,6.2,7.059320552934068,8.08687079597545,1.0466194903464978,787.5072878341313,8.372340146553285,1.0353003476598022
2007-07-05T15:00:00Z,2007,186,16,23.26,1060.8457142857142,6.2,7.085240665192313,8.085745684555533,1.0529068003772222,491.536515322828,8.400603163573766,1.0389398196903024
2007-07-05T16:00:00Z,2007,186,17,23.31,608.6728571428571,4,7.07888556105735,8.081525087278585,1.0558893960781242,282.18792393548546,8.424580466308548,1.0424493366443888
2007-07-05T17:00:00Z,2007,186,18,23.384285714285713,565.1999999999999,2.9,7.1115669838007625,8.071007436564477,1.0597012501136935,261.2564918945244,8.457129197614744,1.0478405904201007
2007-07-05T18:00:00Z,2007,186,19,23.302857142857142,399.9885714285714,1.5,7.197782997540325,8.086360488230808,1.0539372699270309,183.45132313111966,8.423963643206655,1.0417497037718275
