date	event	z	s62	p80	type
2008-08-11	14104	6.922916666666667	327.7976010707441	335.390343257461	m2
2008-08-12	14104	6.695833333333334	282.445365076636	284.95653145609083	m2
2008-08-13	14104	6.7	313.56843484905977	313.050331603512	m2
2008-08-14	14104	6.795833333333333	325.1741817355546	329.29227682240275	m2
2008-08-15	14104	6.85625	330.4164976535885	337.9275364877365	m2
2008-08-25	14118	7.577083333333333	219.70479951792666	221.0368576652092	m2
2008-08-26	14118	7.6	218.67812005487087	219.64641735014135	m2
2008-08-27	14118	7.6	239.7015706241119	236.9432120233831	m2
2008-08-28	14118	7.6	161.19818316931716	162.29590659427006	m2
2008-08-29	14118	7.6937500000000005	215.5949383911429	217.00633473745964	m2
2008-09-10	14134	8.160416666666666	249.76985867631444	246.7361768777893	m2
2008-09-11	14134	8.308333333333334	129.74353960245	140.22288646991447	m2
2008-09-12	14134	8.445833333333333	241.86034161602538	238.87826840077955	m2
2008-09-13	14134	8.579166666666666	119.96839678507726	135.66763992934054	m2
2008-09-14	14134	8.73125	140.71237936017567	152.26380350145357	m2
2009-05-07	14370	2.2604166666666665	146.06065103970587	153.93750923045582	m2
2009-05-08	14370	2.754166666666667	176.02332119118742	184.29337155562013	m2
2009-05-18	14384	7.629166666666666	286.4316284162272	282.3967457088626	m2
2009-05-19	14384	7.741666666666666	271.1079716799488	267.9517305770512	m2
2009-05-20	14384	7.9375	307.49679759417035	302.09007059864564	m2
2009-05-21	14384	7.977083333333334	243.62770724505555	243.11946041108854	m2
2009-05-22	14384	7.935416666666667	307.15157560150476	302.1980494804896	m2
2009-06-10	14407	7.035416666666666	206.09422332522766	226.49831197547996	m2
2009-06-11	14407	7.064583333333333	263.53404656369327	266.8303248737441	m2
2009-06-12	14407	7.00625	257.97273138551935	267.7002814324089	m2
2009-06-13	14407	7	236.48811827606986	241.95275001256465	m2
2009-06-14	14407	6.947916666666667	266.0955132405711	268.7529789726082	m2
2009-06-23	14420	5.972916666666666	188.3711626078992	192.93525391960605	m2
2009-06-24	14420	5.122916666666667	178.68330060459152	176.70849159652556	m2
2009-06-25	14420	5.316666666666666	167.48146739588574	172.68073344235043	m2
2009-06-26	14420	4.78125	158.0011311280758	162.6392578810748	m2
2009-06-27	14420	4.76875	99.75229519475688	104.1315533340686	m2
2009-07-21	14448	6.722916666666666	233.9443996016375	232.4040983662158	m2
2009-07-22	14448	6.6625	250.19550975572585	249.2419391397225	m2
2009-07-23	14448	6.6	270.9746158723565	269.36943242181377	m2
2009-07-24	14448	6.570833333333333	228.09137743465985	226.35927897741567	m2
2009-07-25	14448	6.38125	198.11537178651557	199.45688314335698	m2
2009-08-04	14462	6.84375	281.3919261275144	283.43385592636554	m2
2009-08-05	14462	6.866666666666667	291.681610244714	291.78899142131996	m2
2009-08-06	14462	6.9	284.7494280289778	286.0487761082204	m2
2009-08-07	14462	6.95625	251.64025391749092	251.8767952752556	m2
2009-08-08	14462	7.225	230.49507172231714	231.13110812243224	m2
2009-08-18	14476	6.064583333333333	294.6339131306809	303.1286119320457	m2
2009-08-19	14476	6.16875	303.9706555513875	302.38135268124705	m2
2009-08-20	14476	6.666666666666667	231.72262910519152	251.4606489835504	m2
2009-08-21	14476	7.275	320.5687493666176	335.3634057782747	m2
2009-08-22	14476	7.560416666666667	339.7088572082645	350.1655777762852	m2
2009-09-08	14497	8.36875	371.5819058378414	368.2025152322982	m2
2009-09-09	14497	8.145833333333332	347.3717850328849	345.6891570422758	m2
2009-09-10	14497	8.122916666666667	353.5439249121937	352.2173527813353	m2
2009-09-11	14497	8.029166666666667	331.90006153885264	330.8054793562728	m2
2009-09-12	14497	7.952083333333333	345.4983699815858	343.2435563106446	m2
2010-06-20	14782	8.658333333333333	386.8835246574922	371.3470980935251	m2
2010-06-21	14782	8.683333333333334	270.53855164928257	266.47475194943587	m2
2010-06-22	14782	8.25	339.73237510200937	327.78747113434105	m2
2010-06-23	14782	8.989583333333334	236.6582009079699	243.220116833681	m2
2010-06-24	14782	8.75625	370.3999065169681	354.07028710565555	m2
2010-07-05	14797	5.852083333333333	354.96170940361066	360.8790557344494	m2
2010-07-06	14797	5.833333333333334	380.2912219077126	381.2282918752387	m2
2010-07-07	14797	5.595833333333333	345.5170157799199	350.3687242029489	m2
2010-07-08	14797	5.529166666666667	422.69868001539385	431.2209076386882	m2
2010-07-09	14797	4.8374999999999995	377.5914309983418	382.389598595474	m2
2010-07-19	14811	5.83125	327.6686568588383	352.66000367215366	m2
2010-07-20	14811	5.429166666666667	332.0755667881105	337.8841103798273	m2
2010-07-21	14811	5.589583333333334	269.98184733966383	345.7617681725162	m2
2010-07-22	14811	5.554166666666666	263.74337709986474	273.4849227613933	m2
2010-07-23	14811	6.008333333333333	293.76742370338985	334.90018013337425	m2
2011-06-29	15156	5.3375	165.42541548127326	163.47355316798775	m2
2011-06-30	15156	5.2125	164.33409435833957	162.0065784267266	m2
2011-07-01	15156	4.59375	148.64823578455662	141.95340774220708	m2
2011-07-02	15156	4.197916666666667	135.2219803349154	130.00109671932188	m2
2011-07-03	15156	4.158333333333333	133.52903133473913	128.88323603083305	m2
2011-07-10	15167	3.7125	126.1232209759648	129.10185217616933	m2
2011-07-11	15167	3.86875	138.73562620449363	136.19607851276137	m2
2011-07-12	15167	4.183333333333334	157.2142342568946	158.32336838044938	m2
2011-07-13	15167	4.327083333333333	149.30110740761006	153.20833225580282	m2
2011-07-14	15167	4.727083333333334	115.18883332813641	139.9274910816307	m2
2011-07-24	15181	4.58125	126.76997001444198	126.83246707479508	m2
2011-07-25	15181	4.541666666666667	139.70902955775995	137.13480021409183	m2
2011-07-26	15181	4.458333333333334	140.81167924564505	135.49416229542905	m2
2011-07-27	15181	4.80625	80.11013372325367	103.12003369979656	m2
2011-07-28	15181	4.879166666666666	137.2183760664997	137.51426834939946	m2
2011-08-06	15194	5	126.29963931995886	129.87195739896455	m2
2011-08-07	15194	5.074999999999999	154.3003779540596	151.17394169776196	m2
2011-08-08	15194	5.3375	179.46980204773214	177.1085839639679	m2
2011-08-09	15194	5.525	169.47837355901225	172.85969565852537	m2
2011-08-10	15194	5.65	193.11057526795997	187.49816093306936	m2
2011-08-21	15209	6.30625	113.95974351015492	111.45024851323772	m2
2011-08-22	15209	6.5562499999999995	119.05163717386226	118.32641169231331	m2
2011-08-23	15209	6.6	85.77362556146342	99.51740492107531	m2
2011-08-24	15209	6.6	97.13847087865294	99.38231314959056	m2
2011-08-25	15209	6.622916666666667	121.14370473325053	116.60162732175655	m2
2011-09-13	15232	7.275	160.43613876580218	155.37835985075236	m2
2011-09-14	15232	7.602083333333334	167.66882015200477	166.9105218617589	m2
2011-09-15	15232	8.3375	185.44190618319718	183.31032290526102	m2
2011-09-16	15232	8.60625	190.94149445742448	184.73731126026422	m2
2011-09-17	15232	8.7	168.0781256510831	176.47397686054808	m2
2012-06-12	15505	5.2	248.3557157307161	252.37625968648226	m2
2012-06-13	15505	5.15625	243.32604476903788	247.71474621099742	m2
2012-06-14	15505	5.729166666666667	117.69636173143248	126.85829643297458	m2
2012-06-15	15505	6.020833333333333	320.23939732279587	313.23816538585527	m2
2012-06-16	15505	5.864583333333334	260.8886262364925	264.9113587617466	m2
2012-06-26	15519	5.516666666666667	211.15908482303914	234.79045431334765	m2
2012-06-27	15519	5.385416666666667	213.4975956394449	234.66262403473598	m2
2012-06-28	15519	5.245833333333334	212.33096917041735	218.27856655260766	m2
2012-06-29	15519	4.8375	190.76335315401394	215.04120494007026	m2
2012-06-30	15519	4.60625	173.82179981647914	200.36351299410487	m2
2012-07-09	15532	4.433333333333334	287.8644930821312	288.32812517673653	m2
2012-07-10	15532	4.664583333333334	302.988056864721	302.237772149202	m2
2012-07-11	15532	4.841666666666667	311.33554294081017	312.28898604781017	m2
2012-07-12	15532	4.8125	317.0024237705649	316.25351867697816	m2
2012-07-13	15532	4.8875	318.01729886224615	317.2106200538063	m2
2012-07-24	15547	5.558333333333334	324.3593135203152	327.0355425696373	m2
2012-07-25	15547	5.727083333333333	233.05078816552032	234.3149164513689	m2
2012-07-26	15547	6	304.02847884890565	304.86651326242657	m2
2012-07-27	15547	6.397916666666667	355.26684252424883	355.56108754986843	m2
2012-07-28	15547	6.454166666666667	377.91673340714806	380.41712122489076	m2
2012-08-07	15561	6.691666666666666	349.2344008633658	353.2713630601248	m2
2012-08-08	15561	6.7125	217.82369794648565	244.2739822567243	m2
2012-08-09	15561	7.141666666666667	252.8239679939701	270.968306833431	m2
2012-08-10	15561	7.4375	389.64436166401384	391.531713778057	m2
2012-08-11	15561	7.5	388.849326085563	388.1988424056083	m2
2013-06-23	15881	3.7333333333333334	98.82235018525513	98.4598863426136	m2
2013-06-24	15881	3.4187499999999997	93.12103520557274	91.761771591161	m2
2013-06-25	15881	2.745833333333333	73.39876403602472	71.90580160178065	m2
2013-06-26	15881	2.3270833333333334	48.68752035079211	48.59631601453079	m2
2013-06-27	15881	2.05625	50.04941115070764	50.81135321171236	m2
2013-07-22	15910	4.414583333333333	136.42622958276448	140.0402505411218	m2
2013-07-23	15910	5.052083333333333	173.00615657349528	172.40959350677113	m2
2013-07-24	15910	5.010416666666667	151.56546679476912	158.7497076539498	m2
