date	event	z	s62	p80	type
2009-05-07	14370	7.202083333333333	988.3629878847628	962.6637393883917	m2
2009-05-08	14370	4.529166666666667	464.1160339972934	503.41696398446715	m2
2009-05-19	14385	6.991666666666667	627.9628102599039	627.1721007189192	m2
2009-05-20	14385	7.179166666666666	724.8824872897566	697.5439104159838	m2
2009-05-21	14385	7.366666666666667	594.8329228571508	591.9045738065954	m2
2009-05-22	14385	7.554166666666666	748.5918122858878	726.4326703562979	m2
2009-05-23	14385	7.747916666666667	708.7163384602263	686.7229837168924	m2
2009-06-08	14405	9.258333333333333	264.52463205991785	321.22438333190104	m2
2009-06-09	14405	9.908333333333333	471.70114515456436	489.56014608233636	m2
2009-06-10	14405	10.091666666666667	416.46563620329863	454.24979092602877	m2
2009-06-11	14405	10.283333333333333	562.5380097569922	544.1869682109239	m2
2009-06-12	14405	10.35625	595.768534095772	568.8412589106467	m2
2009-06-27	14424	6.727083333333334	337.148760769052	355.05070159532016	m2
2009-06-28	14424	8.19375	473.8899063750345	473.3774557194303	m2
2009-06-29	14424	9.5125	354.8018016471242	397.1826210645029	m2
2009-06-30	14424	9.345833333333333	526.3545608493241	537.1639155791802	m2
2009-07-01	14424	8.804166666666667	571.9919752980176	560.4469310371634	m2
2009-07-05	14432	8.458333333333334	244.63342712222894	240.74139025926033	m2
2009-07-06	14432	9.1375	267.5200108169384	260.35154554720566	m2
2009-07-07	14432	9.547916666666667	275.09760993413073	268.9904105822088	m2
2009-07-08	14432	8.577083333333333	245.8082074173465	240.80657946642435	m2
2009-07-09	14432	8.622916666666667	251.36649444598	244.72131751257484	m2
2009-07-19	14446	8.589583333333334	411.64311012926765	397.2724567147708	m2
2009-07-20	14446	8.389583333333334	397.21377857283767	380.18035055027246	m2
2009-07-21	14446	9.029166666666667	365.81779639907734	364.10426923917004	m2
2009-07-22	14446	8.558333333333334	374.3387076178349	363.2093667810983	m2
2009-07-23	14446	8.077083333333334	367.5990725332535	355.4154934996499	m2
2009-08-01	14459	9.44375	554.9511383411041	555.8096686664604	m2
2009-08-02	14459	9.5	540.6304709517945	541.1337374034521	m2
2009-08-03	14459	9.5	587.6438093904084	587.7188495488838	m2
2009-08-04	14459	9.5	643.911456935682	644.183993031164	m2
2009-08-05	14459	9.445833333333333	635.4751258227132	631.878646185984	m2
2009-08-16	14474	8.954166666666667	253.15088618322187	268.916910256021	m2
2009-08-17	14474	8.84375	377.448155043054	371.02708834778946	m2
2009-08-18	14474	8.672916666666666	367.9407410960014	362.77027600525605	m2
2009-08-19	14474	8.629166666666666	271.7670470280705	280.9065291996799	m2
2009-08-20	14474	8.995833333333334	173.598169686993	186.93942012845292	m2
2009-09-07	14496	10.4	414.3692029793836	412.1549592850257	m2
2009-09-08	14496	10.175	410.0328864755608	407.57026236899827	m2
2009-09-09	14496	10.1875	390.3804408656751	388.5211631596037	m2
2009-09-10	14496	10.2	397.5343002914191	395.88456262419527	m2
2009-09-11	14496	10.166666666666666	387.44301507246433	385.5855250825931	m2
2010-06-20	14782	6.970833333333333	345.8556559202657	346.50798343581397	m2
2010-06-21	14782	6.685416666666667	234.36825113837193	235.3424451262961	m2
2010-06-22	14782	6.797916666666667	308.11595091690253	310.4452402620464	m2
2010-06-23	14782	6.41875	204.43454328396825	206.19078607711944	m2
2010-06-24	14782	6.20625	290.61749968126503	293.0745071451342	m2
2010-07-05	14797	6.789583333333334	300.17411267786616	300.80111476019675	m2
2010-07-06	14797	6.729166666666667	341.03521783100166	340.2832858164485	m2
2010-07-07	14797	6.597916666666666	320.00544589042227	318.96838924902477	m2
