year,yday,hour,datetime,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,do,do2_sat,k,series,unique_series,series_length,unique_day,index
2010,223,1,2010-08-11T05:00:00Z,24.97047619047619,1e-5,2.6,5.796243701215939,7.786828810682919,1.0553076483107262,5.0916018882921406e-6,8.25061224489796,1.0595599884742255,0.01272322163870889,1,4,1918,293,6999
2010,223,2,2010-08-11T06:00:00Z,24.831904761904763,1e-5,2.4,5.79364860579567,7.8046391220669005,1.0554619978147646,5.092926838847841e-6,8.264897959183674,1.0589724687994138,0.012109560184486634,1,4,1918,293,7000
2010,223,3,2010-08-11T07:00:00Z,24.713333333333335,0.027857142857142858,2.6,5.795499189478175,7.813226791029742,1.0568616809485578,0.014184806866398537,8.28204081632653,1.0600026132397726,0.012648949852463523,1,4,1918,293,7001
2010,223,4,2010-08-11T08:00:00Z,24.636190476190478,0.12071428571428572,2.5,5.774085902731242,7.819570440751526,1.0560042987740368,0.0615996755476273,8.279183673469388,1.0587772993670597,0.012384198087282923,1,4,1918,293,7002
2010,223,5,2010-08-11T09:00:00Z,24.53761904761905,0.055714285714285716,5.4,5.77534872412637,7.8275523964942115,1.0549274641327668,0.028427016199908034,8.28204081632653,1.0580626480425572,0.02070902579952861,1,4,1918,293,7003
2010,223,6,2010-08-11T10:00:00Z,24.384761904761906,8.648428571428571,4.3,5.775800488488112,7.846164160183107,1.0549741033976565,4.41247463177556,8.333469387755102,1.062107447361976,0.017475689070446165,1,4,1918,293,7004
2010,223,7,2010-08-11T11:00:00Z,24.313333333333336,68.09428571428572,1.7,5.828852823696268,7.864229176315683,1.0563654509229328,34.55783437752032,8.339183673469389,1.0603942848695336,0.009903741911211093,1,4,1918,293,7005
2010,223,8,2010-08-11T12:00:00Z,24.316190476190478,197.19,2.1,5.80557006951549,7.8649435996498,1.0486407048573412,100.30748786586386,8.274897959183674,1.0521242592956581,0.011084758023525675,1,4,1918,293,7006
2010,223,9,2010-08-11T13:00:00Z,24.33047619047619,438.38142857142856,1.4,5.802423151482028,7.864353496082672,1.0576203122282137,223.06815535607888,8.293469387755103,1.0545646748821982,0.0090966143940324,1,4,1918,293,7007
2010,223,10,2010-08-11T14:00:00Z,24.503333333333334,769.5614285714286,2.4,5.800066738932942,7.840486170530603,1.0480855167995127,391.67990618192255,8.186326530612245,1.0441095555249524,0.012003908239851303,1,4,1918,293,7008
2010,223,11,2010-08-11T15:00:00Z,24.624761904761908,1251.5542857142857,4.5,5.785579795130956,7.823118734927313,1.045299231301515,637.9234530303376,8.167755102040816,1.044053577453047,0.018120543456032194,1,4,1918,293,7009
2010,223,12,2010-08-11T16:00:00Z,24.63904761904762,845.2485714285714,3,5.776970973081439,7.821412084798694,1.0480844010165697,431.1996977295287,8.196326530612245,1.0479343680845326,0.013822525657039668,1,4,1918,293,7010
2010,223,13,2010-08-11T17:00:00Z,24.704761904761906,943.8957142857143,3.6,5.775561593733039,7.808458923456091,1.0536650164458365,481.59220145383534,8.226326530612244,1.0535147346297624,0.015582587101026765,1,4,1918,293,7011
2010,223,14,2010-08-11T18:00:00Z,24.86047619047619,1185.8614285714286,4.4,5.787684416717932,7.782498132098209,1.0584647577395718,604.3118895479545,8.230612244897959,1.0575797263543878,0.017923958022699762,1,4,1918,293,7012
2010,223,15,2010-08-11T19:00:00Z,24.921904761904763,856.4828571428571,4.1,5.789266929856154,7.7710006338163895,1.0613176331642633,436.3921595513485,8.25204081632653,1.0619019615590868,0.01707459492785504,1,4,1918,293,7013
2010,223,16,2010-08-11T20:00:00Z,24.953333333333333,577.2528571428571,3.6,5.786914249483189,7.764221558279536,1.067396124362584,294.1892747571809,8.27061224489796,1.0652210505351207,0.015642234101151946,1,4,1918,293,7014
2010,223,17,2010-08-11T21:00:00Z,25.00761904761905,729.9528571428572,3.1,5.780962747981646,7.754160801714988,1.0687810340697412,372.23298455101593,8.287755102040816,1.0688139327995123,0.014222988889751233,1,4,1918,293,7015
2010,223,18,2010-08-11T22:00:00Z,25.073333333333334,462.77,1.6,5.771814526398865,7.742103984895307,1.0691538135046028,236.2022173988184,8.28061224489796,1.0695558030547345,0.009888343060766676,1,4,1918,293,7016
2010,223,19,2010-08-11T23:00:00Z,25.030476190476193,165.89785714285713,1.1,5.763689395462301,7.750126786346707,1.0680470433828722,84.74495431034997,8.273469387755103,1.0675269728916386,0.008432174058580003,1,4,1918,293,7017
2010,223,20,2010-08-12T00:00:00Z,25.019047619047623,32.12985714285714,0.6,5.762238151640594,7.752143420779251,1.0651892711203157,16.415161739012156,8.24061224489796,1.063010808444203,0.0069718236452022825,1,4,1918,293,7018
2010,223,21,2010-08-12T01:00:00Z,25.034761904761908,0.15771428571428572,0.7,5.743414854631161,7.752128164401098,1.0574515573212675,0.0807288654176788,8.19204081632653,1.056747339904102,0.007290338368200947,1,4,1918,293,7019
2010,223,22,2010-08-12T02:00:00Z,25.00619047619048,1e-5,0.9,5.766012045392116,7.758480974714149,1.0565856933485651,5.107069614068993e-6,8.154897959183673,1.0510946647625348,0.007840485057576226,1,4,1918,293,7020
2010,223,23,2010-08-12T03:00:00Z,25.023333333333337,1e-5,1,5.787471484769785,7.756762747601355,1.0477953579943242,5.096082742427105e-6,8.176326530612245,1.0540900626541185,0.008105328106459487,1,4,1918,293,7021
