year,yday,hour,datetime,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,k,series,unique_series,series_length,unique_day,index
2009,161,16,2009-06-10T20:00:00Z,10.843333333333334,12.990436507936506,306.5,2.8,10.071518491066007,9.923356244376635,1.0927082598166353,104.64446108577374,0.0068501557236292174,1,3,1313,157,3747
2009,161,17,2009-06-10T21:00:00Z,10.843333333333334,12.971865079365077,395.4,5.1,10.100249142804273,9.926174219774552,1.0923980471480796,134.68482761470233,0.010627727979004352,1,3,1313,157,3748
2009,161,18,2009-06-10T22:00:00Z,10.853333333333333,13.006150793650791,284.5,3.1,10.11386934941081,9.916204052763609,1.0945048403182618,96.80303728895719,0.007319876217227459,1,3,1313,157,3749
2009,161,19,2009-06-10T23:00:00Z,10.803333333333333,13.123293650793649,180.3,1.4,10.140639364967907,9.891545261174045,1.092178527023296,61.216612160777935,0.004514353994201407,1,3,1313,157,3750
2009,161,20,2009-06-11T00:00:00Z,10.813333333333334,13.097579365079364,76,1.8,10.145977341366565,9.89803182576898,1.0924730818890092,25.792963809299664,0.0051690612196439185,1,3,1313,157,3751
2009,161,21,2009-06-11T01:00:00Z,10.823333333333334,13.061865079365077,3.4,1.3,10.181620500428078,9.900746342772157,1.09318358016865,1.150605911048622,0.0043244141074316265,1,3,1313,157,3752
2009,161,22,2009-06-11T02:00:00Z,10.823333333333334,13.020436507936507,0,1.1,10.240661112333058,9.909748706255739,1.0921904938417737,1e-5,0.003968298797728245,1,3,1313,157,3753
2009,161,23,2009-06-11T03:00:00Z,10.823333333333334,12.967579365079363,0,2.2,10.278777309400672,9.923279169810257,1.0907012841341122,1e-5,0.005733786318088249,1,3,1313,157,3754
2009,161,24,2009-06-11T04:00:00Z,10.813333333333334,12.951865079365078,0,1.1,10.306682069749497,9.930392279473597,1.088913008571152,1e-5,0.003935577767704802,1,3,1313,157,3755
2009,162,1,2009-06-11T05:00:00Z,10.813333333333334,12.936150793650793,0,1.1,10.294447672237633,9.936194853558144,1.088277101315207,1e-5,0.003938581022484774,1,3,1313,158,3756
2009,162,2,2009-06-11T06:00:00Z,10.813333333333334,12.91472222222222,0,1.1,10.271069009062636,9.938436076567026,1.0880316832574044,1e-5,0.003945258784763659,1,3,1313,158,3757
2009,162,3,2009-06-11T07:00:00Z,10.813333333333334,12.90472222222222,0,1.1,10.28582179791369,9.937047908940478,1.088183677126529,1e-5,0.0039385346851803825,1,3,1313,158,3758
2009,162,4,2009-06-11T08:00:00Z,10.803333333333333,12.870436507936507,0,1.1,10.316186754100077,9.941314331232075,1.0867107681519637,1e-5,0.003923301050700588,1,3,1313,158,3759
