datetime,year,yday,hour,do,wtemp,par,par_sp,wspeed,z,do_eq,o2_sat,par_int
2012-07-26T07:00:00Z,2012,208,8,7.920000000000001,24.733053278688523,163.8,205.2016393442623,4.7,8.529444176394945,7.749880598429503,1.0219512287202168,58.685248221035884
2012-07-26T08:00:00Z,2012,208,9,7.95,24.688299180327867,171.3,198.02459016393442,5.1,8.567021927114489,7.757286865839968,1.024842852596913,61.15973951619413
2012-07-26T09:00:00Z,2012,208,10,7.95,24.66370901639344,230.3,203.33934426229507,4.4,8.553209161920075,7.765490058526859,1.0237602443738294,82.32953502537566
2012-07-26T10:00:00Z,2012,208,11,7.96,24.65092213114754,628.5,605.2704918032787,3.3,8.552180375992215,7.772365153328288,1.0241412804172438,224.70267756484216
2012-07-26T11:00:00Z,2012,208,12,7.97,24.706495901639343,1430.2,1037.6704918032788,4.5,8.550851267836745,7.764373993026384,1.026483269244668,511.390931986571
2012-07-26T12:00:00Z,2012,208,13,7.9799999999999995,24.78452868852459,1469.9,1366.8180327868852,5.1,8.529163232431182,7.750207699638859,1.0296498247875148,526.6403328281605
2012-07-26T13:00:00Z,2012,208,14,8,24.776495901639343,448.8,659.7808196721312,3.3,8.492771295546152,7.761936690739895,1.0306706069303706,161.33987840549915
2012-07-26T14:00:00Z,2012,208,15,8,24.875840163934424,1253.7,1108.8032786885246,3.2,8.451539265436747,7.743876702322028,1.0330742995431696,452.42176752866595
2012-07-26T15:00:00Z,2012,208,16,8.01,24.94797131147541,1099.4,1021.555737704918,5.2,8.344726937027803,7.73090306921691,1.036101465544744,400.7078689186204
2012-07-26T16:00:00Z,2012,208,17,8.02,25.02485655737705,931,894.6836065573771,5.2,8.338089455395368,7.721055904250247,1.0387180327997874,339.54031029423265
2012-07-26T17:00:00Z,2012,208,18,8.04,24.971577868852457,215.7,131.68311475409837,4.9,8.287191154688383,7.727982901265455,1.040374972709043,79.04278074096862
2012-07-26T18:00:00Z,2012,208,19,8.04,24.84780737704918,82.2,182.01704918032786,2.5,8.305858741106022,7.74887029205308,1.0375706002261376,30.06933269596534
2012-07-26T19:00:00Z,2012,208,20,8.04,24.795840163934425,15.7,9.505196721311476,3.2,8.30876830728731,7.762971491185441,1.0356858851187478,5.741603969674859
2012-07-26T20:00:00Z,2012,208,21,8.04,24.758299180327867,0.8,1.7835757575757576,3.8,8.281005040201581,7.775102113149408,1.0340700203027033,0.29332840761204454
2012-07-26T21:00:00Z,2012,208,22,8.02,24.709938524590164,1,0.1575,2.8,8.273931654976417,7.789963610164455,1.0295298413891676,0.36690402911340664
2012-07-26T22:00:00Z,2012,208,23,7.9799999999999995,24.67075819672131,1,0.1431818181818182,4.7,8.260984883985254,7.789276427233313,1.0244854030471775,0.3673504466289666
2012-07-26T23:00:00Z,2012,208,24,7.97,24.6396106557377,0.8,0.168,3.9,8.228725902210197,7.797112361824249,1.0221732905918135,0.2947733371529561
2012-07-27T00:00:00Z,2012,209,1,7.9799999999999995,24.5884631147541,0.8,0.135,5.1,8.196871960473404,7.807341513130261,1.0221148884776416,0.2930342315667876
2012-07-27T01:00:00Z,2012,209,2,7.97,24.545760928961748,0.9,0.165375,5.6,8.185147418364286,7.817848254015606,1.0194621001892998,0.33003052437142283
2012-07-27T02:00:00Z,2012,209,3,7.96,24.481741803278688,0.8,0.168,5.1,8.139102115998654,7.837233940159904,1.015664462842051,0.29464748611520225
